,date,wm_yr_wk,weekday,wday,month,year,d,event_name_1,event_type_1,event_name_2,event_type_2,snap_CA,snap_TX,snap_WI,Week,Day,Dayofyear,Is_month_end,Is_month_start,Is_quarter_end,Is_quarter_start,Is_year_end,Is_year_start,Elapsed,is_event_day
0,2011-01-29,11101,2,0,0,0,d_1,0,0,0,0,0,0,0,3,28,29,False,False,False,False,False,False,1296259200,False
1,2011-01-30,11101,3,1,0,0,d_2,0,0,0,0,0,0,0,3,29,30,False,False,False,False,False,False,1296345600,False
2,2011-01-31,11101,1,2,0,0,d_3,0,0,0,0,0,0,0,4,30,31,True,False,False,False,False,False,1296432000,False
3,2011-02-01,11101,5,3,1,0,d_4,0,0,0,0,1,1,0,4,0,32,False,True,False,False,False,False,1296518400,False
4,2011-02-02,11101,6,4,1,0,d_5,0,0,0,0,1,0,1,4,1,33,False,False,False,False,False,False,1296604800,False
5,2011-02-03,11101,4,5,1,0,d_6,0,0,0,0,1,1,1,4,2,34,False,False,False,False,False,False,1296691200,False
6,2011-02-04,11101,0,6,1,0,d_7,0,0,0,0,1,0,0,4,3,35,False,False,False,False,False,False,1296777600,False
7,2011-02-05,11102,2,0,1,0,d_8,0,0,0,0,1,1,1,4,4,36,False,False,False,False,False,False,1296864000,False
8,2011-02-06,11102,3,1,1,0,d_9,27,4,0,0,1,1,1,4,5,37,False,False,False,False,False,False,1296950400,False
9,2011-02-07,11102,1,2,1,0,d_10,0,0,0,0,1,1,0,5,6,38,False,False,False,False,False,False,1297036800,False
10,2011-02-08,11102,5,3,1,0,d_11,0,0,0,0,1,0,1,5,7,39,False,False,False,False,False,False,1297123200,False
11,2011-02-09,11102,6,4,1,0,d_12,0,0,0,0,1,1,1,5,8,40,False,False,False,False,False,False,1297209600,False
12,2011-02-10,11102,4,5,1,0,d_13,0,0,0,0,1,0,0,5,9,41,False,False,False,False,False,False,1297296000,False
13,2011-02-11,11102,0,6,1,0,d_14,0,0,0,0,0,1,1,5,10,42,False,False,False,False,False,False,1297382400,False
14,2011-02-12,11103,2,0,1,0,d_15,0,0,0,0,0,1,1,5,11,43,False,False,False,False,False,False,1297468800,False
15,2011-02-13,11103,3,1,1,0,d_16,0,0,0,0,0,1,0,5,12,44,False,False,False,False,False,False,1297555200,False
16,2011-02-14,11103,1,2,1,0,d_17,29,1,0,0,0,0,1,6,13,45,False,False,False,False,False,False,1297641600,False
